,count,mean,std,min,25%,50%,75%,max
LIMIT_BAL,29965.0,167442.01,129760.14,10000.0,50000.0,140000.0,240000.0,1000000.0
AGE,29965.0,35.49,9.22,21.0,28.0,34.0,41.0,79.0
PAY_0,29965.0,-0.02,1.12,-2.0,-1.0,0.0,0.0,8.0
PAY_2,29965.0,-0.13,1.2,-2.0,-1.0,0.0,0.0,8.0
PAY_3,29965.0,-0.16,1.2,-2.0,-1.0,0.0,0.0,8.0
PAY_4,29965.0,-0.22,1.17,-2.0,-1.0,0.0,0.0,8.0
PAY_5,29965.0,-0.26,1.13,-2.0,-1.0,0.0,0.0,8.0
PAY_6,29965.0,-0.29,1.15,-2.0,-1.0,0.0,0.0,8.0
BILL_AMT1,29965.0,51283.01,73658.13,-165580.0,3595.0,22438.0,67260.0,964511.0
BILL_AMT2,29965.0,49236.37,71195.57,-69777.0,3010.0,21295.0,64109.0,983931.0
BILL_AMT3,29965.0,47067.92,69371.35,-157264.0,2711.0,20135.0,60201.0,1664089.0
BILL_AMT4,29965.0,43313.33,64353.51,-170000.0,2360.0,19081.0,54601.0,891586.0
BILL_AMT5,29965.0,40358.33,60817.13,-81334.0,1787.0,18130.0,50247.0,927171.0
BILL_AMT6,29965.0,38917.01,59574.15,-339603.0,1262.0,17124.0,49252.0,961664.0
PAY_AMT1,29965.0,5670.1,16571.85,0.0,1000.0,2102.0,5008.0,873552.0
PAY_AMT2,29965.0,5927.98,23053.46,0.0,850.0,2010.0,5000.0,1684259.0
PAY_AMT3,29965.0,5231.69,17616.36,0.0,390.0,1804.0,4512.0,896040.0
PAY_AMT4,29965.0,4831.62,15674.46,0.0,300.0,1500.0,4016.0,621000.0
PAY_AMT5,29965.0,4804.9,15286.37,0.0,261.0,1500.0,4042.0,426529.0
PAY_AMT6,29965.0,5221.5,17786.98,0.0,131.0,1500.0,4000.0,528666.0
