Feature,Mean_Abs_SHAP_Value
PAY_0,0.5424991
BILL_AMT1,0.2080779
LIMIT_BAL,0.2071887
PAY_AMT1,0.17942043
PAY_AMT3,0.14132005
PAY_AMT2,0.14070998
PAY_AMT4,0.103936136
BILL_AMT2,0.102965966
PAY_2,0.08565098
PAY_3,0.07810803
PAY_AMT6,0.077225134
BILL_AMT4,0.07665624
PAY_6,0.07616651
BILL_AMT6,0.073131226
BILL_AMT3,0.06671191
AGE,0.06277927
BILL_AMT5,0.061739355
PAY_AMT5,0.06140586
PAY_5,0.050216503
SEX_2,0.045848202
PAY_4,0.039571088
MARRIAGE_2,0.031122189
MARRIAGE_1,0.028930422
EDUCATION_4,0.027048858
EDUCATION_1,0.017302025
EDUCATION_2,0.017090958
EDUCATION_3,0.01113591
MARRIAGE_3,0.0016037554
